date,dining_revenue,non_dining_revenue,ppc_spend,meta_spend
26/06/2023,19663.79,2106018.38,0,0
27/06/2023,9689.68,1962225.8,0,0
28/06/2023,20856.84,1911427.668,0,0
29/06/2023,8796,1976553.85,0,0
30/06/2023,18500,2100669.332,0,0
01/07/2023,22826.12,4060159.73,0,0
02/07/2023,25875,4217305.18,0,0
03/07/2023,14460.68,2687521.53,0,0
04/07/2023,10983,2440051.83,0,0
05/07/2023,8192.88,2301997.25,0,0
06/07/2023,12751.96,2228131.49,0,0
07/07/2023,4997,2157635.03,0,0
08/07/2023,17464.88,4130933.62,0,0
09/07/2023,17520.56,4561848.98,0,0
10/07/2023,12623,2929200.75,0,0
11/07/2023,19350.08,2678863.94,0,0
12/07/2023,11292,2512280.87,0,0
13/07/2023,18144,2381180.03,0,0
14/07/2023,11877.28,2514003.72,0,0
15/07/2023,23987.88,5202480.15,0,0
16/07/2023,28013.28,5255733.55,0,0
17/07/2023,25450.36,3427274.08,0,0
18/07/2023,19159.76,3127952.742,0,0
19/07/2023,5743.5,2412592.89,0,0
20/07/2023,7847,2267765.89,0,0
21/07/2023,15047.6,2374713.41,0,0
22/07/2023,20729.88,4860757.46,0,0
23/07/2023,20827.4,5214991.38,0,0
24/07/2023,12376.48,3360804.32,0,0
25/07/2023,12312.61,3093893.56,0,0
26/07/2023,8707.65,2532502.12,0,0
27/07/2023,8103,2575158.58,0,0
28/07/2023,10246.88,2307064.42,0,0
29/07/2023,19036.72,4488642.23,0,0
30/07/2023,17863.6,4862381,0,0
31/07/2023,18441.08,3206923.7,0,0
01/08/2023,12746.8,2800686.78,0,0
02/08/2023,10097.2,2774007.13,0,0
03/08/2023,12570.4,2726165.4,0,0
04/08/2023,9417.88,2721146.15,0,0
05/08/2023,16710.2,5339053.27,0,0
06/08/2023,17984.5,4981055.58,0,0
07/08/2023,18925,3506180.64,0,0
08/08/2023,9119,2913676.004,0,0
09/08/2023,10095.88,2787285.52,0,0
10/08/2023,10812.3,2460183.06,0,0
11/08/2023,9552,2614600.96,0,0
12/08/2023,7921.6,4638861.8,0,0
13/08/2023,18494.28,5402705.518,0,0
14/08/2023,17708.2,3738540.02,0,0
15/08/2023,13080.2,3133551.59,0,0
16/08/2023,13685,2305601.53,0,0
17/08/2023,13673.3,2469630.28,0,0
18/08/2023,12489.72,2736033.67,0,0
19/08/2023,15250.64,4409979.4,0,0
20/08/2023,16931.88,4068872.01,0,0
21/08/2023,12423.2,3044677.88,0,0
22/08/2023,10335.28,2872045.4,0,0
23/08/2023,15140.88,2702671.69,0,0
24/08/2023,15609.76,2749559.82,0,0
25/08/2023,7979.76,3097968.394,0,0
26/08/2023,20080,5546239.45,0,0
27/08/2023,36013.19,5788425.04,0,0
28/08/2023,35715.7,8338567.93,0,0
29/08/2023,19490.8,3918173.272,0,0
30/08/2023,20005.08,3793467.524,0,0
31/08/2023,14394.94,2942450.46,0,0
01/09/2023,18562,3174195.596,0,0
02/09/2023,15046.76,5077548.72,0,0
03/09/2023,23367.76,5089532.55,0,0
04/09/2023,27118,4044606.6,0,0
05/09/2023,26420.31,3736760.06,0,0
06/09/2023,11592.2,1763666.88,0,0
07/09/2023,6205,1758696.92,0,0
08/09/2023,8420,1871352.42,0,0
09/09/2023,7041.76,3233515.72,0,0
10/09/2023,14331.68,4212034.4,0,0
11/09/2023,17954.48,2498102.01,0,0
12/09/2023,14608,2339628.13,0,0
13/09/2023,8402.8,2290849.95,634.45,0
14/09/2023,14214.76,2246214.19,1052.16,0
15/09/2023,7767,2487162.42,1062.86,0
16/09/2023,10888.72,4733691.88,1312.46,0
17/09/2023,26957.56,5277145.03,954.58,0
18/09/2023,15115.48,2985592.6,731.7,0
19/09/2023,17411,2654912.7,864.61,0
20/09/2023,16840,2815020.5,1200.89,0
21/09/2023,17666.88,2517396.21,1061.99,0
22/09/2023,12348.24,3072394.6,631.14,0
23/09/2023,18086.68,5770750.33,418.89,0
24/09/2023,11812.28,6031080.08,353.04,0
25/09/2023,17766.32,3682098.38,306.57,0
26/09/2023,10669,3237880.49,34.04,0
27/09/2023,10995.28,2747088.25,0,0
28/09/2023,11223.04,2924849.63,0,0
